,BuildingType,PrimaryPropertyType,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,SteamUse_Rate,Electricity_Rate,NaturalGas_Rate,GFABuildingRate,GFAParkingRate,GFALargestPropertyUseRate,TotalUseTypeNumber,BuildingAge
79,1,2,7,47.62291,-122.35708,0.6931471805599453,1.9459101490553132,11.4815483105279,8,4.04305126783455,5155568.5,152.14,0.0,0.51149,0.48851,0.48173455212143423,0.32289476420752344,0.48173455212143423,1.0986122886681098,14
80,1,2,9,47.65772,-122.31756,1.0986122886681098,1.6094379124341003,10.82013821962583,8,3.9889840465642745,5448975.0,191.2,0.0,0.39059,0.60941,0.6931471805599453,0.0,0.6931471805599453,1.0986122886681098,54
82,1,3,4,47.62548,-122.30828,0.6931471805599453,1.3862943611198906,11.123491173934593,9,3.5553480614894135,2646879.0,78.85,0.0,0.50542,0.49458,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,93
83,1,3,4,47.62644,-122.30429,0.6931471805599453,1.9459101490553132,12.176154528742888,9,4.61512051684126,6219841.5,243.23,0.0,0.30353,0.69647,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,108
84,1,17,11,47.58408,-122.30125,0.6931471805599453,1.3862943611198906,11.507249386471992,18,4.1588830833596715,4897760.0,34.14,0.0,1.0,0.0,0.4949644985349881,0.307161117989265,0.4949644985349881,1.0986122886681098,13
86,3,3,5,47.56413,-122.31208,0.6931471805599453,0.6931471805599453,11.78190625342459,9,4.127134385045092,6456026.0,238.48,0.0,0.3505,0.6495,0.6931471805599453,0.0,0.7067492515282308,0.6931471805599453,59
87,3,3,11,47.55478,-122.27596,0.6931471805599453,1.3862943611198906,11.001366238850487,9,4.543294782270004,1633399.375,20.48,0.0,0.8794,0.1206,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,27
88,3,3,7,47.63683,-122.35896,0.6931471805599453,1.0986122886681098,11.442706842557458,9,4.465908118654584,2887392.0,84.75,0.0,0.51491,0.48509,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,52
89,1,10,9,47.67524,-122.31534,0.6931471805599453,1.6094379124341003,10.94238522187658,19,,6357632.0,44.32,0.0,1.0,0.0,0.6931471805599453,0.0,0.6242953705519271,0.6931471805599453,75
90,1,10,9,47.67559,-122.31769,0.6931471805599453,1.0986122886681098,12.240160013274313,19,,4253577.5,133.58,0.0,0.47045,0.52955,0.6931471805599453,0.0,0.4547440416992483,1.0986122886681098,87
91,1,2,10,47.73141,-122.3458,0.6931471805599453,1.6094379124341003,10.847218338835674,8,4.499809670330265,3611538.0,127.29,0.0,0.38717,0.61283,0.6931471805599453,0.0,0.6931471805599453,1.0986122886681098,15
92,3,3,10,47.72463,-122.35315,0.6931471805599453,1.0986122886681098,11.78305946670208,9,4.48863636973214,3894584.5,124.92,0.0,0.45589,0.54411,0.6931471805599453,0.0,0.6965613456597332,0.6931471805599453,53
93,3,3,10,47.7257,-122.33684,0.6931471805599453,0.6931471805599453,12.411410614126586,9,4.532599493153256,11765682.0,443.73,0.0,0.33368,0.66632,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,57
94,1,2,10,47.72551,-122.3423,0.6931471805599453,1.3862943611198906,11.14387424996344,8,4.3694478524670215,3242458.0,89.02,0.0,0.55603,0.44397,0.6931471805599453,0.0,0.7037309740995903,0.6931471805599453,14
96,1,2,3,47.6048,-122.3368,0.6931471805599453,1.791759469228055,12.159929225640868,8,4.59511985013459,6505995.0,142.39,0.0,0.67675,0.32325,0.6931471805599453,0.0,0.6931471805599453,1.0986122886681098,112
97,2,10,3,47.60804,-122.3367,0.6931471805599453,1.9459101490553132,12.557085087723449,21,,14641502.0,429.12,0.25808589451177383,0.66954,0.03602,0.6931471805599453,0.0,0.5115653501009905,0.6931471805599453,18
98,1,1,0,47.66737,-122.37956,1.6094379124341003,1.791759469228055,12.561415702901638,7,2.70805020110221,68090728.0,1990.5,0.0,0.5175,0.4825,0.6931471805599453,0.0,0.7230602889596881,1.0986122886681098,62
99,3,3,0,47.6706,-122.36225,0.6931471805599453,1.0986122886681098,10.924390520176528,9,4.543294782270004,1513570.75,10.55,0.0,1.0,0.0,0.6931471805599453,0.0,0.7249171286487476,0.6931471805599453,25
100,2,10,3,47.60112,-122.32785,0.6931471805599453,1.6094379124341003,11.02119960717217,19,,9363374.0,176.75,0.0,0.74196,0.25804,0.6931471805599453,0.0,0.5301045845610343,1.0986122886681098,10
101,1,10,3,47.59809,-122.32283,0.6931471805599453,1.6094379124341003,11.195759654126208,16,,2010454.625,46.26,0.0,0.65242,0.34758,0.593448384852827,0.17376841608256305,0.5858291947513259,0.6931471805599453,106
102,1,2,7,47.62614,-122.3467,0.6931471805599453,1.6094379124341003,11.996727210857355,8,4.343805421853684,7946961.0,228.4,0.0,0.52818,0.47182,0.6483956003210132,0.08390906980710625,0.531157522737909,1.0986122886681098,20
103,3,3,11,47.57589,-122.29365,0.6931471805599453,1.6094379124341003,12.576217955346895,9,4.51085950651685,8819852.0,170.84,0.0,0.73128,0.26872,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,26
104,1,19,4,47.61495,-122.32177,0.6931471805599453,1.3862943611198906,11.056130219690564,2,,3059758.0,74.33,0.0,0.62458,0.37542,0.6931471805599453,0.0,0.7048435110207688,0.6931471805599453,101
105,0,19,2,47.547,-122.35307,3.332204510175204,1.0986122886681098,12.996963406408776,2,,38301744.0,866.23,0.0,0.66092,0.33908,0.6931471805599453,0.0,0.7395821925821334,0.6931471805599453,46
106,1,17,9,47.67828,-122.26456,0.6931471805599453,1.0986122886681098,11.475233981948293,18,,16319835.0,222.02,0.0,0.85624,0.14376,0.6931471805599453,0.0,0.6721584501214607,1.0986122886681098,14
107,2,10,5,47.59545,-122.32146,0.6931471805599453,0.6931471805599453,11.117762111107313,31,,7475577.5,204.08,0.0,0.55942,0.44058,0.6931471805599453,0.0,0.7005646033378073,1.6094379124341003,66
108,3,3,1,47.60598,-122.30156,0.6931471805599453,1.3862943611198906,12.447150413080536,9,4.110873864173311,13567774.0,359.09,0.0,0.57748,0.42252,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,8
109,3,3,11,47.51482,-122.25864,0.6931471805599453,1.3862943611198906,11.27473172560964,9,4.532599493153256,2499140.0,56.82,0.0,0.65831,0.34169,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,15
110,3,3,1,47.61224,-122.29087,0.6931471805599453,1.3862943611198906,11.112373268722708,9,4.382026634673881,2371304.5,41.74,0.0,0.76955,0.23045,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,14
111,3,3,5,47.52915,-122.28904,0.6931471805599453,1.3862943611198906,11.496369162654512,9,4.48863636973214,3456131.5,94.64,0.0,0.55758,0.44242,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,16
112,1,17,5,47.53827,-122.28406,0.6931471805599453,0.6931471805599453,10.910824842428626,18,,4253369.5,61.21,0.0,0.83918,0.16082,0.6931471805599453,0.0,0.3855752770098436,1.0986122886681098,58
